species,n,D,second_fraction,T,R1,R2,R12,SD_M1,SD_M2,mean_M1,mean_M2,p_white,p_yellow_orange,p_red_pink,p_blue_purple
Rhododendron tomentosum,61,0.03224939532383764,0.01639344262295082,0.07085609037849194,0.47308316628623953,0.29665075100218413,0.7697339172884237,0.1830869290444321,0.1449810760887719,-0.4498062019953081,0.4701313147463012,0.9836065573770492,0.01639344262295082,0.0,0.0
Rhynchospora colorata,51,0.11072664359861584,0.058823529411764705,0.09589677070767465,0.3922721397291148,0.36876076198272445,0.7610329017118391,0.19395265256915617,0.18805043535670082,-0.43267731897836476,0.5015122431913347,0.9411764705882353,0.058823529411764705,0.0,0.0
Rorippa palustris,63,0.1461325270849081,0.07936507936507936,0.1365203794849849,0.20478524539728854,0.19347111690539867,0.39825636230268724,0.16720454364210202,0.16251999969021935,0.1324424704063858,-0.031767187472730614,0.07936507936507936,0.9206349206349206,0.0,0.0
Rosa blanda,50,0.6135999999999999,0.38,0.23673543139348688,0.18358936671179735,0.22663459816202822,0.4102239648738255,0.20847567706515407,0.23162996214776985,-0.2500351662898673,0.2289560815183535,0.48,0.1,0.38,0.04
Rosa multiflora,71,0.05475104146002763,0.028169014084507043,0.06205620765456269,0.3772294427496922,0.3212639897321299,0.6984934324818222,0.15300140075401222,0.14119640526143132,-0.39406895755844634,0.4689255033262095,0.971830985915493,0.028169014084507043,0.0,0.0
Rubus chamaemorus,58,0.15755053507728878,0.08620689655172414,0.14254079444296755,0.5617543777698008,0.2601042506648744,0.8218586284346752,0.28297158035591186,0.1925499065898604,-0.40315982908394604,0.496710008979559,0.9137931034482759,0.08620689655172414,0.0,0.0
Rubus odoratus,50,0.4919999999999999,0.16,0.20924915581344933,0.07638334582193526,0.13262684003134542,0.20901018585328068,0.12642448588563338,0.1665894784035427,-0.10077702999710954,0.02708954961196859,0.14,0.02,0.68,0.16
Rubus trivialis,61,0.0,0.0,0.03108114760988234,0.49109926772850526,0.3068995163443021,0.7979987840728073,0.12354727367034368,0.09766672498296826,-0.5332082510690813,0.5634844550254576,1.0,0.0,0.0,0.0
Rudbeckia triloba,75,0.026311111111110952,0.013333333333333334,0.05868846279645802,0.0442613038480228,0.20681744208516284,0.25107874593318563,0.05096692931899478,0.1101716740159361,0.08780568976465677,-0.17298589862136907,0.013333333333333334,0.9866666666666667,0.0,0.0
Sagittaria lancifolia,59,0.09652398735995393,0.05084745762711865,0.0775381308058629,0.2616289587766337,0.42997538351390213,0.6916043422905358,0.1424297034618283,0.18259103901944918,-0.3829024979200407,0.41682383830144165,0.9491525423728814,0.05084745762711865,0.0,0.0
Sagittaria latifolia,68,0.05709342560553643,0.029411764705882353,0.07312666403464901,0.4686743917471906,0.2341594046872167,0.7028337964344074,0.1851285898691509,0.13085601291922166,-0.3466614809819219,0.45176713722989065,0.9705882352941176,0.029411764705882353,0.0,0.0
Sairocarpus pusillus,43,0.2520281233098973,0.06976744186046512,0.11072426415148956,0.04217096477729608,0.05192627937400378,0.09409724415129987,0.06833263527425598,0.07582545135909999,-0.04390561532562157,-0.013080621522784837,0.023255813953488372,0.06976744186046512,0.046511627906976744,0.8604651162790697
Salvia amarissima,49,0.47896709704289875,0.3469387755102041,0.21219923267594298,0.20466153906716128,0.24060315388541534,0.44526469295257665,0.2083963088644546,0.22595531556902343,-0.18735551738480002,0.16781133173262267,0.3469387755102041,0.02040816326530612,0.0,0.6326530612244898
