species,n_classifiable,D,second_fraction,n_raw,n_mixed,n_ambiguous_palette,n_bridge,n_technical_mixed,mixed_rate,ambiguous_palette_rate,bridge_rate,technical_mixed_rate
Lysimachia quadrifolia,66,0.059228650137741035,0.015151515151515152,100,34,2,2,32,0.34,0.02,0.02,0.32
Malacothrix saxatilis,63,0.06198034769463345,0.015873015873015872,100,37,6,6,31,0.37,0.06,0.06,0.31
Malva moschata,53,0.481310074759701,0.22641509433962265,100,47,4,4,43,0.47,0.04,0.04,0.43
Malva thuringiaca,58,0.41141498216409034,0.1896551724137931,100,42,4,4,38,0.42,0.04,0.04,0.38
Mazus miquelii,61,0.4934157484547166,0.4426229508196721,100,39,11,11,28,0.39,0.11,0.11,0.28
Mecardonia procumbens,50,0.26880000000000015,0.16,100,50,1,1,49,0.5,0.01,0.01,0.49
Medicago lupulina,69,0.13610586011342152,0.057971014492753624,100,31,1,1,30,0.31,0.01,0.01,0.3
Medicago marina,75,0.07679999999999998,0.04,100,25,2,2,23,0.25,0.02,0.02,0.23
Melaleuca citrina,40,0.40875000000000006,0.15,100,60,9,8,51,0.6,0.09,0.08,0.51
Melastoma candidum,52,0.7071005917159763,0.3076923076923077,100,48,6,6,42,0.48,0.06,0.06,0.42
Melastoma malabathricum,41,0.6329565734681737,0.3902439024390244,100,59,9,9,50,0.59,0.09,0.09,0.5
Melothria pendula,52,0.17677514792899407,0.07692307692307693,100,48,2,2,46,0.48,0.02,0.02,0.46
Micranthes petiolaris,49,0.0,0.0,100,51,0,0,51,0.51,0.0,0.0,0.51
Mitchella repens,49,0.03998334027488548,0.02040816326530612,100,51,0,0,51,0.51,0.0,0.0,0.51
Moraea flaccida,51,0.3752402921953095,0.19607843137254902,100,49,6,6,43,0.49,0.06,0.06,0.43
Muscari armeniacum,80,0.07218749999999985,0.0375,100,20,1,1,19,0.2,0.01,0.01,0.19
Muscari botryoides,65,0.08804733727810632,0.046153846153846156,100,35,4,4,31,0.35,0.04,0.04,0.31
Myosotis latifolia,76,0.375,0.25,100,24,1,1,23,0.24,0.01,0.01,0.23
Myosotis laxa,65,0.08899408284023658,0.03076923076923077,100,35,7,7,28,0.35,0.07,0.07,0.28
Myosotis sparsiflora,74,0.07779401022644272,0.04054054054054054,100,26,3,3,23,0.26,0.03,0.03,0.23
Myrica gale,40,0.3037500000000001,0.1,100,60,0,0,60,0.6,0.0,0.0,0.6
Myrtus communis,67,0.21029182445979067,0.11940298507462686,100,33,3,3,30,0.33,0.03,0.03,0.3
Nama hispida,61,0.6057511421660844,0.26229508196721313,100,39,21,21,18,0.39,0.21,0.21,0.18
Navarretia heterodoxa,65,0.43739644970414193,0.3230769230769231,100,35,12,12,23,0.35,0.12,0.12,0.23
Nelumbo nucifera,43,0.6414277988101676,0.3953488372093023,100,57,6,6,51,0.57,0.06,0.06,0.51
Nicandra physalodes,45,0.5175308641975308,0.2222222222222222,100,55,8,8,47,0.55,0.08,0.08,0.47
Nicotiana longiflora,51,0.07535563244905807,0.0392156862745098,100,49,1,1,48,0.49,0.01,0.01,0.48
Ochna serrulata,59,0.4699798908359667,0.3389830508474576,100,41,3,3,38,0.41,0.03,0.03,0.38
Odontites luteus,66,0.029843893480257178,0.015151515151515152,100,34,1,1,33,0.34,0.01,0.01,0.33
Olearia lirata,68,0.028979238754325065,0.014705882352941176,100,32,1,1,31,0.32,0.01,0.01,0.31
Olsynium biflorum,47,0.2978723404255319,0.10638297872340426,100,53,0,0,53,0.53,0.0,0.0,0.53
Omphalodes verna,62,0.36680541103017683,0.24193548387096775,100,38,6,6,32,0.38,0.06,0.06,0.32
Oreomecon alpina,73,0.2927378495027211,0.1780821917808219,100,27,0,0,27,0.27,0.0,0.0,0.27
Ornithopus compressus,52,0.14201183431952646,0.07692307692307693,100,48,1,0,47,0.48,0.01,0.0,0.47
Oxalis violacea,50,0.6232,0.24,100,50,19,19,31,0.5,0.19,0.19,0.31
Oxytropis campestris,45,0.4612345679012345,0.15555555555555556,100,55,7,7,48,0.55,0.07,0.07,0.48
Papaver dubium,44,0.5619834710743802,0.36363636363636365,100,56,7,6,49,0.56,0.07,0.06,0.49
Parthenium confertum,82,0.024092801903628835,0.012195121951219513,100,18,2,2,16,0.18,0.02,0.02,0.16
Passiflora mixta,41,0.3367043426531826,0.0975609756097561,100,59,6,6,53,0.59,0.06,0.06,0.53
Pectis multiseta,82,0.0,0.0,100,18,0,0,18,0.18,0.0,0.0,0.18
Pectis papposa,79,0.0,0.0,100,21,0,0,21,0.21,0.0,0.0,0.21
Penstemon speciosus,60,0.032777777777777795,0.016666666666666666,100,40,3,3,37,0.4,0.03,0.03,0.37
Pentanema squarrosum,42,0.046485260770975145,0.023809523809523808,100,58,0,0,58,0.58,0.0,0.0,0.58
Persicaria nepalensis,61,0.29185702768073096,0.06557377049180328,100,39,10,10,29,0.39,0.1,0.1,0.29
Persicaria pensylvanica,72,0.13155864197530864,0.041666666666666664,100,28,7,7,21,0.28,0.07,0.07,0.21
Phlomoides tuberosa,63,0.3764172335600906,0.1111111111111111,100,37,13,12,24,0.37,0.13,0.12,0.24
Phlox diffusa,78,0.2287968441814595,0.10256410256410256,100,22,11,11,11,0.22,0.11,0.11,0.11
Phlox longifolia,71,0.4784764927593732,0.23943661971830985,100,29,8,8,21,0.29,0.08,0.08,0.21
Phlox roemeriana,63,0.3335852859662385,0.19047619047619047,100,37,8,8,29,0.37,0.08,0.08,0.29
Pimelea serpyllifolia,53,0.30615877536489844,0.18867924528301888,100,47,3,3,44,0.47,0.03,0.03,0.44
Pinguicula vulgaris,56,0.25765306122448983,0.07142857142857142,100,44,7,7,37,0.44,0.07,0.07,0.37
Piqueria trinervia,69,0.02856542743121193,0.014492753623188406,100,31,5,5,26,0.31,0.05,0.05,0.26
Pittosporum revolutum,41,0.1356335514574658,0.07317073170731707,100,59,5,5,54,0.59,0.05,0.05,0.54
Plantago media,52,0.14201183431952646,0.07692307692307693,100,48,2,2,46,0.48,0.02,0.02,0.46
Polycalymma stuartii,76,0.3168282548476453,0.19736842105263158,100,24,6,6,18,0.24,0.06,0.06,0.18
