discovery_source,capacity_bin,opened_group,breadth_rank_block,genus_size_class,denominator,classifiable,n_blue_purple,n_red_pink,n_white,n_yellow_orange
v1_only,2_4,not_previously_opened,15001_20000,non_singleton_genus_label,322,143,7,7,72,57
v1_only,2_4,not_previously_opened,15001_20000,singleton_genus_label,23,13,0,0,8,5
v1_only,2_4,not_previously_opened,1_5000,non_singleton_genus_label,291,113,5,19,49,40
v1_only,2_4,not_previously_opened,1_5000,singleton_genus_label,23,5,1,0,2,2
v1_only,2_4,not_previously_opened,20001_25000,non_singleton_genus_label,335,156,13,11,79,53
v1_only,2_4,not_previously_opened,20001_25000,singleton_genus_label,26,7,0,0,3,4
v1_only,2_4,not_previously_opened,25001_30000,non_singleton_genus_label,294,141,13,11,60,57
v1_only,2_4,not_previously_opened,25001_30000,singleton_genus_label,22,8,0,0,5,3
v1_only,2_4,not_previously_opened,30001_35000,non_singleton_genus_label,316,134,7,12,60,55
v1_only,2_4,not_previously_opened,30001_35000,singleton_genus_label,23,10,0,0,4,6
v1_only,2_4,not_previously_opened,35001_40000,non_singleton_genus_label,313,132,11,9,66,46
v1_only,2_4,not_previously_opened,35001_40000,singleton_genus_label,32,10,0,0,5,5
v1_only,2_4,not_previously_opened,40001_42111,non_singleton_genus_label,125,56,1,9,30,16
v1_only,2_4,not_previously_opened,40001_42111,singleton_genus_label,16,7,1,0,4,2
v1_only,2_4,not_previously_opened,5001_10000,non_singleton_genus_label,305,140,13,18,65,44
v1_only,2_4,not_previously_opened,5001_10000,singleton_genus_label,29,6,0,0,3,3
v1_only,5_9,not_previously_opened,10001_15000,non_singleton_genus_label,167,73,4,7,36,26
v1_only,5_9,not_previously_opened,10001_15000,singleton_genus_label,6,6,0,0,1,5
v1_only,5_9,not_previously_opened,15001_20000,non_singleton_genus_label,151,65,6,3,32,24
v1_only,5_9,not_previously_opened,15001_20000,singleton_genus_label,10,4,0,0,3,1
v1_only,5_9,not_previously_opened,1_5000,non_singleton_genus_label,169,65,2,5,34,24
v1_only,5_9,not_previously_opened,1_5000,singleton_genus_label,9,1,0,0,1,0
v1_only,5_9,not_previously_opened,20001_25000,non_singleton_genus_label,146,58,4,6,30,18
v1_only,5_9,not_previously_opened,20001_25000,singleton_genus_label,9,4,0,0,4,0
v1_only,5_9,not_previously_opened,25001_30000,non_singleton_genus_label,144,63,6,9,29,19
v1_only,5_9,not_previously_opened,25001_30000,singleton_genus_label,10,7,0,2,2,3
v1_only,5_9,not_previously_opened,30001_35000,non_singleton_genus_label,146,68,4,10,27,27
v1_only,5_9,not_previously_opened,30001_35000,singleton_genus_label,11,2,0,0,1,1
v1_only,5_9,not_previously_opened,35001_40000,non_singleton_genus_label,147,68,3,12,25,28
v1_only,5_9,not_previously_opened,35001_40000,singleton_genus_label,10,6,0,1,4,1
