species,D,second_fraction,spatial_rho,primary_second_ge_0_10,sensitivity_second_ge_0_20,tranche
Senegalia berlandieri,0.177742511406467,0.0985915492957746,-0.0678791463437779,False,False,discovery
Senna artemisioides,0.0,0.0,-0.0721167118166737,False,False,discovery
Senna hebecarpa,0.25350837483024,0.1489361702127659,0.0746517200213768,True,False,discovery
Sericocarpus linifolius,0.0,0.0,-0.0157816005261738,False,False,discovery
Sesbania drummondii,0.1652892561983472,0.0909090909090909,0.0208724094040625,False,False,discovery
Sidalcea candida,0.1395514417942327,0.0754716981132075,-0.049165835815751,False,False,discovery
Sideranthus spinulosus,0.0673336938885882,0.0348837209302325,0.0810871495024703,False,False,discovery
Sisymbrium irio,0.0880473372781063,0.0461538461538461,-0.0239144978573138,False,False,discovery
Sixalix atropurpurea,0.2573927530195752,0.0612244897959183,0.0333964379511634,False,False,discovery
Solanum crispum,0.5428681276432141,0.392156862745098,0.2042913157546597,True,True,discovery
Solanum elaeagnifolium,0.5475258098967605,0.3584905660377358,0.001642179239547,True,True,discovery
