condition_id,panel,species,n_classifiable,D
fixed_ev_m0_5,N,Freesia leichtlinii,47,0.2589406971480308
fixed_ev_m0_5,N,Galium aparine,48,0.1171875
fixed_ev_m0_5,N,Genista hispanica,87,0.0
fixed_ev_m0_5,N,Gentiana pneumonanthe,56,0.06887755102040805
fixed_ev_m0_5,N,Glandularia gooddingii,72,0.49189814814814814
fixed_ev_m0_5,N,Glycyrrhiza lepidota,49,0.27905039566847134
fixed_ev_m0_5,N,Gypsophila repens,84,0.02352607709750565
fixed_ev_m0_5,N,Hedera helix,50,0.4927999999999999
fixed_ev_m0_5,N,Helianthemum nummularium,62,0.06295525494276777
fixed_ev_m0_5,N,Helianthus maximiliani,60,0.09500000000000008
fixed_ev_m0_5,N,Helichrysum arenarium,85,0.06809688581314877
fixed_ev_m0_5,N,Hypochaeris sessiliflora,58,0.5047562425683709
fixed_ev_m0_5,N,Ipomoea hederacea,59,0.3700086182131571
fixed_ev_m0_5,N,Ixeris chinensis,77,0.14370045538876708
fixed_ev_m0_5,N,Kallstroemia grandiflora,57,0.0
fixed_ev_m0_5,N,Lagenophora strangulata,57,0.18836565096952906
fixed_ev_m0_5,N,Lantana achyranthifolia,67,0.11450211628425044
fixed_ev_m0_5,N,Linaria canadensis,55,0.530909090909091
fixed_ev_m0_5,N,Linaria texana,61,0.5245901639344263
fixed_ev_m0_5,N,Linum narbonense,52,0.34097633136094674
fixed_ev_m0_5,N,Lithophragma parviflorum,71,0.08172981551279512
fixed_ev_m0_5,N,Lobelia siphilitica,54,0.1049382716049383
fixed_ev_m0_5,N,Lomatium multifidum,57,0.4216682056017236
fixed_ev_m0_5,N,Lupinus latifolius,56,0.4426020408163266
fixed_ev_m0_5,N,Lupinus subcarnosus,74,0.19284149013878737
fixed_ev_m0_5,N,Lygodesmia aphylla,50,0.44720000000000015
fixed_ev_m0_5,N,Lygodesmia texana,42,0.6904761904761905
fixed_ev_m0_5,N,Maianthemum dilatatum,59,0.0
fixed_ev_m0_5,N,Malva multiflora,49,0.5531028738025823
fixed_ev_m0_5,N,Malva nicaeensis,50,0.28480000000000005
fixed_ev_m0_5,N,Matthiola incana,59,0.6354495834530307
fixed_ev_m0_5,N,Medicago arborea,58,0.03388822829964333
fixed_ev_m0_5,N,Melampyrum cristatum,45,0.6666666666666666
fixed_ev_m0_5,N,Melampyrum nemorosum,46,0.556710775047259
fixed_ev_m0_5,N,Mentha longifolia,75,0.12586666666666657
fixed_ev_m0_5,N,Muscari comosum,45,0.27456790123456787
fixed_ev_m0_5,N,Mycelis muralis,61,0.27411986025262025
fixed_ev_m0_5,N,Myoporum insulare,56,0.16772959183673464
fixed_ev_m0_5,N,Narcissus assoanus,77,0.02563670096137627
fixed_ev_m0_5,N,Narcissus deficiens,46,0.15879017013232533
fixed_ev_m0_5,N,Narthecium ossifragum,52,0.037721893491124314
fixed_ev_m0_5,N,Nelumbo lutea,50,0.4736
fixed_ev_m0_5,N,Oenothera acaulis,61,0.3085192152647137
fixed_ev_m0_5,N,Opuntia cespitosa,53,0.10822356710573167
fixed_ev_m0_5,N,Packera sanguisorbae,67,0.138115393183337
fixed_ev_m0_5,N,Pancratium illyricum,43,0.4651162790697675
fixed_ev_m0_5,N,Pectocarya recurvata,42,0.046485260770975145
fixed_ev_m0_5,N,Penstemon barbatus,54,0.200960219478738
fixed_ev_m0_5,N,Penstemon heterophyllus,63,0.1204333585285966
fixed_ev_m0_5,N,Persicaria attenuata,48,0.15538194444444453
fixed_ev_m0_5,N,Phacelia fremontii,61,0.5122278957269552
fixed_ev_m0_5,N,Pholisma arenarium,51,0.17993079584775085
fixed_ev_m0_5,N,Pimpinella saxifraga,74,0.07779401022644272
fixed_ev_m0_5,N,Pisum sativum,44,0.5940082644628099
fixed_ev_m0_5,N,Platycodon grandiflorus,53,0.2086151655393378
fixed_ev_m0_5,N,Praxelis clematidea,67,0.392069503230118
fixed_ev_m0_5,N,Primula mistassinica,67,0.39073290265092453
