species,n_classifiable,D,second_fraction,primary_second_ge_0_10,sensitivity_second_ge_0_20,spatial_observed_rho
Ranunculus trichophyllus,74,0.07779401022644272,0.04054054054054054,False,False,-0.0013295006168879
Ranunculus uncinatus,44,0.2675619834710743,0.1590909090909091,True,False,-0.1466813222707451
Rhododendron canadense,45,0.345679012345679,0.2222222222222222,True,True,-0.0159739150655374
Rhododendron catawbiense,48,0.4765625,0.1875,True,False,0.0589711287419964
Rhododendron pseudochrysanthum,50,0.21120000000000005,0.12,True,False,-0.0079436015841899
Rhododendron tomentosum,61,0.03224939532383764,0.01639344262295082,False,False,0.0102309181242581
Rhynchospora colorata,51,0.11072664359861584,0.058823529411764705,False,False,0.0055901039923096
Rorippa palustris,63,0.1461325270849081,0.07936507936507936,False,False,0.1487842339382076
Rosa blanda,50,0.6135999999999999,0.38,True,True,0.0349773906299877
Rosa multiflora,71,0.05475104146002763,0.028169014084507043,False,False,0.002661443806738
Rubus chamaemorus,58,0.15755053507728878,0.08620689655172414,False,False,0.0260203967389201
Rubus odoratus,50,0.4919999999999999,0.16,True,False,0.1197375393876963
Rubus trivialis,61,0.0,0.0,False,False,-0.0201410564888419
Rudbeckia triloba,75,0.026311111111110952,0.013333333333333334,False,False,0.0625779548263717
Sagittaria lancifolia,59,0.09652398735995393,0.05084745762711865,False,False,-0.1239314533459174
Sagittaria latifolia,68,0.05709342560553643,0.029411764705882353,False,False,-0.0227790790743755
Sairocarpus pusillus,43,0.2520281233098973,0.06976744186046512,False,False,-0.0335913039119058
Salvia amarissima,49,0.47896709704289875,0.3469387755102041,True,True,-0.1025253494528125
Salvia hispanica,61,0.5020155872077399,0.32786885245901637,True,True,-0.0179171907827264
Salvia lavanduloides,47,0.501584427342689,0.3404255319148936,True,True,0.0269029421918083
Salvia polystachia,43,0.505137912385073,0.3953488372093023,True,True,-0.0509437730962786
Salvia prunelloides,48,0.18663194444444442,0.10416666666666667,True,False,-0.0454785618293943
Salvia verticillata,44,0.6064049586776861,0.3181818181818182,True,True,-0.0421699800567001
Sambucus mexicana,46,0.3402646502835538,0.21739130434782608,True,True,-0.0679880861194459
Sanguinaria canadensis,68,0.20761245674740492,0.11764705882352941,True,False,-0.0035931220080824
Satureja montana,60,0.09611111111111115,0.03333333333333333,False,False,0.0651646234480904
Saxifraga granulata,69,0.02856542743121193,0.014492753623188406,False,False,0.0131155978521174
Saxifraga tridactylites,52,0.3173076923076923,0.17307692307692307,True,False,-0.0788731628483825
Scilla bifolia,51,0.31526336024605917,0.19607843137254902,True,False,0.0193927486596278
Scilla luciliae,59,0.4481470841712152,0.3389830508474576,True,True,0.0182099464619862
Scilla verna,63,0.43033509700176376,0.2857142857142857,True,True,0.2044366746648321
Senecio mohavensis,66,0.11524334251606971,0.045454545454545456,False,False,0.1407964404064005
Senecio ovatus,43,0.0,0.0,False,False,-0.0098516102118407
Senecio triangularis,58,0.16171224732461342,0.05172413793103448,False,False,0.114870059018694
Senecio vernalis,82,0.024092801903628835,0.012195121951219513,False,False,-0.0043697505655796
Senegalia berlandieri,71,0.17774251140646702,0.09859154929577464,False,False,-0.0678791463437779
Senna artemisioides,75,0.0,0.0,False,False,-0.0721167118166737
Senna hebecarpa,47,0.25350837483024,0.14893617021276595,True,False,0.0746517200213768
Sericocarpus linifolius,52,0.0,0.0,False,False,-0.0157816005261738
Sesbania drummondii,44,0.16528925619834722,0.09090909090909091,False,False,0.0208724094040625
Sidalcea candida,53,0.13955144179423273,0.07547169811320754,False,False,-0.049165835815751
Sideranthus spinulosus,86,0.06733369388858823,0.03488372093023256,False,False,0.0810871495024703
Sisymbrium irio,65,0.08804733727810632,0.046153846153846156,False,False,-0.0239144978573138
Sixalix atropurpurea,49,0.2573927530195752,0.061224489795918366,False,False,0.0333964379511634
Solanum crispum,51,0.5428681276432141,0.39215686274509803,True,True,0.2042913157546597
Solanum elaeagnifolium,53,0.5475258098967605,0.3584905660377358,True,True,0.001642179239547
Solanum furcatum,48,0.2543402777777778,0.125,True,False,-0.0590587607223899
Solanum laxum,48,0.19184027777777768,0.0625,False,False,0.0400373308578754
Solanum lycopersicum,46,0.5094517958412098,0.2391304347826087,True,True,0.0117993589778973
Solanum pseudocapsicum,54,0.5102880658436215,0.37037037037037035,True,True,-0.0015988222381482
Solidago ptarmicoides,78,0.11998685075608151,0.0641025641025641,False,False,-0.0371859887965883
Solidago uliginosa,50,0.1472,0.08,False,False,-0.1338028420016451
Solidago virgaurea,63,0.0,0.0,False,False,0.0212959644820728
Sparaxis tricolor,52,0.5776627218934911,0.40384615384615385,True,True,0.0039721652610095
Sphaeralcea ambigua,52,0.3224852071005917,0.15384615384615385,True,False,-0.0006451690522726
Sphaeralcea coccinea,57,0.19329024315173904,0.07017543859649122,False,False,0.0179266493308134
Stachys palustris,43,0.6479177934018389,0.3023255813953488,True,True,-0.0523727460929735
Stevia serrata,68,0.05752595155709339,0.014705882352941176,False,False,-0.0138859779924663
Streptosolen jamesonii,60,0.06499999999999995,0.016666666666666666,False,False,0.0998456430463405
Stypandra glauca,57,0.25053862726992915,0.08771929824561403,False,False,0.1022454112090192
Symphyotrichum puniceum,62,0.2325702393340271,0.08064516129032258,False,False,0.0815629107759517
Symphyotrichum subulatum,68,0.1379757785467126,0.058823529411764705,False,False,0.0399482152700162
