tranche,species,n_classifiable,D,C_star,S_star,organization_state,maximum_pairwise_span_km,frag_100km,frag_250km,frag_500km,frag_multiscale,valid_dated_photos,eligible_local_dated_pairs,same_morph_local_dated_pairs,cross_morph_local_dated_pairs,phenology_proxy_gate,phenology_delta_days,phenology_within_species_perm_p
discovery,Malva thuringiaca,58,0.4114149821640903,False,False,unresolved_photo_state,9617.131603572716,0.9827586206896551,0.8275862068965517,0.1724137931034483,0.6609195402298851,58,0,0,0,False,,
discovery,Mazus miquelii,61,0.4934157484547166,True,False,local_cooccurrence_only,12232.432659835102,0.819672131147541,0.4590163934426229,0.360655737704918,0.546448087431694,61,98,46,52,True,-2.5,0.479
discovery,Mecardonia procumbens,50,0.2688000000000001,False,True,spatial_segregation_only,19613.83280778567,0.88,0.8200000000000001,0.6,0.7666666666666667,50,13,12,1,False,,
discovery,Melaleuca citrina,40,0.40875,True,False,local_cooccurrence_only,14764.573932077157,0.275,0.19999999999999996,0.17500000000000004,0.21666666666666667,40,133,65,68,True,4.0,0.815
discovery,Melastoma candidum,52,0.7071005917159763,True,False,local_cooccurrence_only,7272.8308326901115,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,52,419,124,295,True,-1.5,0.658
discovery,Melastoma malabathricum,41,0.6329565734681737,True,False,local_cooccurrence_only,12978.698891634116,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146,41,63,19,44,True,-38.5,0.289
discovery,Moraea flaccida,51,0.3752402921953095,True,False,local_cooccurrence_only,10792.652881989272,0.7254901960784313,0.6274509803921569,0.6274509803921569,0.6601307189542484,51,193,103,90,True,0.5,0.92
discovery,Myosotis latifolia,76,0.375,True,False,local_cooccurrence_only,18157.028261738895,0.21052631578947367,0.17105263157894735,0.14473684210526316,0.17543859649122806,76,1018,602,416,True,-4.5,0.523
discovery,Myrica gale,40,0.3037500000000001,False,False,unresolved_photo_state,8247.906991384443,0.9,0.775,0.5,0.725,40,12,6,6,False,,
discovery,Myrtus communis,67,0.2102918244597906,True,False,local_cooccurrence_only,5148.586166946524,0.835820895522388,0.4477611940298507,0.29850746268656714,0.5273631840796019,67,66,46,20,True,4.0,0.7767767767767768
discovery,Nama hispida,61,0.6057511421660844,True,True,cooccurrence_and_segregation,1909.0028205524857,0.8360655737704918,0.2295081967213115,0.0,0.3551912568306011,61,52,27,25,True,-2.0,0.959
discovery,Navarretia heterodoxa,65,0.4373964497041419,True,False,local_cooccurrence_only,114.86907331820603,0.0,0.0,0.0,0.0,65,2045,1128,917,True,-2.0,0.255
discovery,Nelumbo nucifera,43,0.6414277988101676,False,False,unresolved_photo_state,18657.09442456874,0.9767441860465116,0.9302325581395349,0.8604651162790697,0.9224806201550386,43,0,0,0,False,,
discovery,Nicandra physalodes,45,0.5175308641975308,False,False,unresolved_photo_state,19891.561214479912,0.9777777777777777,0.9555555555555556,0.9333333333333333,0.9555555555555556,45,0,0,0,False,,
discovery,Ochna serrulata,59,0.4699798908359667,True,False,local_cooccurrence_only,18644.701153232032,0.5932203389830508,0.5423728813559322,0.2542372881355932,0.4632768361581921,59,222,105,117,True,76.0,0.001
discovery,Olsynium biflorum,47,0.2978723404255319,True,False,local_cooccurrence_only,933.1846234684482,0.4893617021276596,0.0,0.0,0.16312056737588654,47,232,162,70,True,6.5,0.187
discovery,Omphalodes verna,62,0.3668054110301768,True,False,local_cooccurrence_only,2499.3138406785147,0.8225806451612903,0.27419354838709675,0.016129032258064502,0.3709677419354838,62,59,42,17,True,8.0,0.37
discovery,Oreomecon alpina,73,0.2927378495027211,True,True,cooccurrence_and_segregation,1577.3651386464312,0.273972602739726,0.1643835616438356,0.013698630136986356,0.15068493150684933,73,951,932,19,True,-10.0,0.016
discovery,Oxalis violacea,50,0.6232,False,False,unresolved_photo_state,2384.0454481397546,0.96,0.74,0.020000000000000018,0.5733333333333334,50,2,0,2,False,,
discovery,Oxytropis campestris,45,0.4612345679012345,False,True,spatial_segregation_only,9087.373832321244,0.9555555555555556,0.7777777777777778,0.5777777777777777,0.7703703703703703,45,8,4,4,False,,
discovery,Papaver dubium,44,0.5619834710743802,False,False,unresolved_photo_state,19570.524400811762,0.9772727272727273,0.9318181818181819,0.43181818181818177,0.7803030303030303,44,0,0,0,False,,
discovery,Phlomoides tuberosa,63,0.3764172335600906,False,False,unresolved_photo_state,9448.473769478072,0.9365079365079365,0.8571428571428572,0.4285714285714286,0.7407407407407408,63,11,10,1,False,,
discovery,Phlox diffusa,78,0.2287968441814595,True,False,local_cooccurrence_only,1800.8869350636105,0.7051282051282051,0.012820512820512775,0.0,0.23931623931623927,78,280,247,33,True,14.0,0.062
discovery,Phlox longifolia,71,0.4784764927593732,True,False,local_cooccurrence_only,1968.2040766614602,0.7605633802816901,0.05633802816901412,0.0,0.27230046948356806,71,63,38,25,True,-9.0,0.71
discovery,Phlox roemeriana,63,0.3335852859662385,True,False,local_cooccurrence_only,337.2931920763238,0.0,0.0,0.0,0.0,63,1101,766,335,True,-1.0,0.9
discovery,Pimelea serpyllifolia,53,0.3061587753648984,True,False,local_cooccurrence_only,1081.525647945751,0.2075471698113207,0.1132075471698113,0.0,0.10691823899371067,53,863,640,223,True,1.0,0.968
discovery,Polycalymma stuartii,76,0.3168282548476453,True,False,local_cooccurrence_only,1651.9946787309632,0.4736842105263158,0.19736842105263153,0.17105263157894735,0.2807017543859649,76,196,156,40,True,0.5,0.965
discovery,Polygala comosa,43,0.3796646836127636,False,False,unresolved_photo_state,5895.967089640848,0.9069767441860466,0.7674418604651163,0.2093023255813954,0.6279069767441862,43,12,8,4,False,,
discovery,Potentilla indica,45,0.339753086419753,False,False,unresolved_photo_state,19862.694780555546,0.9777777777777777,0.8222222222222222,0.5333333333333333,0.7777777777777777,45,0,0,0,False,,
discovery,Primula elatior,58,0.4851367419738407,False,False,unresolved_photo_state,7183.624504383146,0.896551724137931,0.3620689655172413,0.2068965517241379,0.48850574712643674,58,14,6,8,False,,
discovery,Pulmonaria obscura,47,0.4092349479402445,False,False,unresolved_photo_state,8374.043220772848,0.9787234042553191,0.46808510638297873,0.04255319148936165,0.49645390070921974,47,0,0,0,False,,
discovery,Purshia stansburyana,48,0.3298611111111111,True,False,local_cooccurrence_only,1554.5493301297097,0.6458333333333333,0.02083333333333337,0.02083333333333337,0.22916666666666666,48,85,65,20,True,-20.0,0.291
discovery,Ranunculus uncinatus,44,0.2675619834710743,True,False,local_cooccurrence_only,2388.8152274507897,0.34090909090909094,0.20454545454545459,0.09090909090909094,0.21212121212121215,44,198,142,56,True,5.0,0.353
discovery,Rhododendron canadense,45,0.345679012345679,True,False,local_cooccurrence_only,1858.4589438769794,0.5333333333333333,0.11111111111111116,0.0,0.21481481481481482,45,58,37,21,True,-2.0,0.4
discovery,Rhododendron catawbiense,48,0.4765625,True,False,local_cooccurrence_only,787.995745632744,0.16666666666666663,0.0,0.0,0.055555555555555546,48,226,123,103,True,7.0,0.046
discovery,Rhododendron pseudochrysanthum,50,0.2112,True,False,local_cooccurrence_only,183.33673736180188,0.0,0.0,0.0,0.0,50,985,782,203,True,-2.0,0.759
discovery,Rosa blanda,50,0.6135999999999999,True,False,local_cooccurrence_only,2194.080763041375,0.5,0.18000000000000005,0.0,0.22666666666666668,50,76,33,43,True,0.0,1.0
discovery,Rubus odoratus,50,0.4919999999999999,True,False,local_cooccurrence_only,9887.915499091938,0.8200000000000001,0.38,0.06000000000000005,0.4200000000000001,50,37,21,16,True,-8.5,0.359
discovery,Salvia amarissima,49,0.4789670970428987,True,False,local_cooccurrence_only,681.0010727943456,0.24489795918367352,0.0,0.0,0.08163265306122451,49,343,158,185,True,3.0,0.622
discovery,Salvia hispanica,61,0.5020155872077399,True,False,local_cooccurrence_only,17121.259339418742,0.8032786885245902,0.4918032786885246,0.4098360655737705,0.5683060109289617,61,67,31,36,True,-1.0,0.967
discovery,Salvia lavanduloides,47,0.501584427342689,True,False,local_cooccurrence_only,1876.4424163444035,0.5957446808510638,0.04255319148936165,0.0,0.21276595744680848,47,105,49,56,True,-14.0,0.464
discovery,Salvia polystachia,43,0.505137912385073,True,False,local_cooccurrence_only,2752.600040474403,0.4418604651162791,0.09302325581395354,0.023255813953488413,0.186046511627907,43,84,49,35,True,-2.0,0.868
discovery,Salvia prunelloides,48,0.1866319444444444,True,False,local_cooccurrence_only,1599.3400955631223,0.7916666666666666,0.35416666666666663,0.0,0.3819444444444444,48,95,76,19,True,-10.5,0.4044044044044044
discovery,Salvia verticillata,44,0.6064049586776861,False,False,unresolved_photo_state,5303.186297198124,0.9545454545454546,0.6136363636363636,0.36363636363636365,0.643939393939394,44,5,3,2,False,,
discovery,Sambucus mexicana,46,0.3402646502835538,True,False,local_cooccurrence_only,771.6342314793171,0.10869565217391308,0.10869565217391308,0.0,0.07246376811594206,46,597,371,226,True,-5.5,0.165
discovery,Sanguinaria canadensis,68,0.2076124567474049,False,False,unresolved_photo_state,2597.6062409414108,0.9411764705882353,0.08823529411764708,0.014705882352941124,0.34803921568627444,68,18,14,4,False,,
discovery,Saxifraga tridactylites,52,0.3173076923076923,False,False,unresolved_photo_state,10615.239445171921,0.9807692307692307,0.7692307692307692,0.13461538461538458,0.6282051282051282,52,0,0,0,False,,
discovery,Scilla bifolia,51,0.3152633602460591,False,False,unresolved_photo_state,8986.974937908926,0.9803921568627451,0.6666666666666667,0.039215686274509776,0.5620915032679737,51,0,0,0,False,,
discovery,Scilla luciliae,59,0.4481470841712152,False,False,unresolved_photo_state,9719.71451620997,0.9322033898305084,0.6271186440677966,0.4576271186440678,0.672316384180791,59,19,10,9,False,,
discovery,Scilla verna,63,0.4303350970017637,True,True,cooccurrence_and_segregation,2554.2479354084167,0.6349206349206349,0.4444444444444444,0.0,0.35978835978835977,63,99,63,36,True,1.0,0.846
discovery,Senna hebecarpa,47,0.25350837483024,True,False,local_cooccurrence_only,1522.593145624727,0.8085106382978724,0.04255319148936165,0.0,0.28368794326241137,47,53,41,12,True,1.5,0.7755511022044088
discovery,Solanum crispum,51,0.5428681276432141,True,True,cooccurrence_and_segregation,19113.9897563492,0.27450980392156865,0.0980392156862745,0.05882352941176472,0.14379084967320263,51,644,340,304,True,-3.5,0.609
discovery,Solanum elaeagnifolium,53,0.5475258098967605,False,False,unresolved_photo_state,17409.696102683607,0.9811320754716981,0.7358490566037736,0.37735849056603776,0.6981132075471699,53,0,0,0,False,,
discovery,Solanum furcatum,48,0.2543402777777778,True,False,local_cooccurrence_only,12822.83953073089,0.6666666666666667,0.45833333333333337,0.4375,0.5208333333333334,48,202,142,60,True,2.5,0.961
