species,inat_taxon_id,family,family_taxon_id,retrieved_taxon_name,retrieved_taxon_rank,retrieval_status,source_url,retrieved_at_utc
Eriophyllum confertiflorum,53395,Asteraceae,47604.0,Eriophyllum confertiflorum,species,ok,https://api.inaturalist.org/v1/taxa/53395,2026-09-10T06:54:22.596327+00:00
Eryngium planum,162710,Apiaceae,48699.0,Eryngium planum,species,ok,https://api.inaturalist.org/v1/taxa/162710,2026-09-10T06:54:22.805285+00:00
Erythranthe dentata,765338,Phrymaceae,64552.0,Erythranthe dentata,species,ok,https://api.inaturalist.org/v1/taxa/765338,2026-09-10T06:54:24.349501+00:00
Erythranthe erubescens,771871,Phrymaceae,64552.0,Erythranthe erubescens,species,ok,https://api.inaturalist.org/v1/taxa/771871,2026-09-10T06:54:25.715767+00:00
Erythrina humeana,427617,Fabaceae,47122.0,Erythrina humeana,species,ok,https://api.inaturalist.org/v1/taxa/427617,2026-09-10T06:54:27.776969+00:00
Eschscholzia minutiflora,57881,Papaveraceae,47332.0,Eschscholzia minutiflora,species,ok,https://api.inaturalist.org/v1/taxa/57881,2026-09-10T06:54:27.961189+00:00
Euonymus obovatus,144192,Celastraceae,47539.0,Euonymus obovatus,species,ok,https://api.inaturalist.org/v1/taxa/144192,2026-09-10T06:54:29.338239+00:00
Eupatorium altissimum,119135,Asteraceae,47604.0,Eupatorium altissimum,species,ok,https://api.inaturalist.org/v1/taxa/119135,2026-09-10T06:54:31.151106+00:00
Euphorbia cyparissias,55766,Euphorbiaceae,51821.0,Euphorbia cyparissias,species,ok,https://api.inaturalist.org/v1/taxa/55766,2026-09-10T06:54:32.871185+00:00
Eurybia divaricata,127685,Asteraceae,47604.0,Eurybia divaricata,species,ok,https://api.inaturalist.org/v1/taxa/127685,2026-09-10T06:54:34.161261+00:00
Eutrochium fistulosum,132717,Asteraceae,47604.0,Eutrochium fistulosum,species,ok,https://api.inaturalist.org/v1/taxa/132717,2026-09-10T06:54:35.701584+00:00
